,Time Stamp,Load (MW),P1,P2,P3
197,2018-01-03 01:15:00,61.047381546134666,20.0,40.0,1.0473815
198,2018-01-03 01:30:00,59.85037406483791,20.0,39.850374,0.0
199,2018-01-03 01:45:00,64.23940149625935,20.0,40.0,4.2394015
200,2018-01-03 02:00:00,65.03740648379053,20.0,40.0,5.0374065
201,2018-01-03 02:15:00,60.249376558603494,20.0,40.0,0.24937656
202,2018-01-03 02:30:00,61.24688279301746,20.0,40.0,1.2468828
203,2018-01-03 02:45:00,62.044887780548635,20.0,40.0,2.0448878
204,2018-01-03 03:00:00,62.84289276807981,20.0,40.0,2.8428928
205,2018-01-03 03:15:00,63.64089775561098,20.0,40.0,3.6408978
206,2018-01-03 03:30:00,64.03990024937656,20.0,40.0,4.0399002
207,2018-01-03 03:45:00,63.84039900249377,20.0,40.0,3.840399
208,2018-01-03 04:00:00,64.23940149625935,20.0,40.0,4.2394015
209,2018-01-03 04:15:00,62.443890274314214,20.0,40.0,2.4438903
210,2018-01-03 04:30:00,61.24688279301746,20.0,40.0,1.2468828
211,2018-01-03 04:45:00,62.443890274314214,20.0,40.0,2.4438903
212,2018-01-03 05:00:00,64.83790523690773,20.0,40.0,4.8379052
213,2018-01-03 05:15:00,66.43391521197007,20.0,40.0,6.4339152
214,2018-01-03 05:30:00,65.23690773067332,20.0,40.0,5.2369077
215,2018-01-03 05:45:00,66.83291770573567,20.0,40.0,6.8329177
216,2018-01-03 06:00:00,65.83541147132169,20.0,40.0,5.8354115
217,2018-01-03 06:15:00,66.83291770573567,20.0,40.0,6.8329177
218,2018-01-03 06:30:00,70.02493765586036,20.0,40.0,10.024938
219,2018-01-03 06:45:00,70.42394014962593,20.0,40.0,10.42394
220,2018-01-03 07:00:00,70.42394014962593,20.0,40.0,10.42394
221,2018-01-03 07:15:00,68.6284289276808,20.0,40.0,8.6284289
222,2018-01-03 07:30:00,68.82793017456359,20.0,40.0,8.8279302
223,2018-01-03 07:45:00,73.01745635910225,20.0,40.0,13.017456
224,2018-01-03 08:00:00,73.61596009975062,20.0,40.0,13.61596
225,2018-01-03 08:15:00,71.42144638403991,20.0,40.0,11.421446
226,2018-01-03 08:30:00,70.02493765586036,20.0,40.0,10.024938
227,2018-01-03 08:45:00,69.42643391521197,20.0,40.0,9.4264339
228,2018-01-03 09:00:00,70.82294264339153,20.0,40.0,10.822943
229,2018-01-03 09:15:00,70.02493765586036,20.0,40.0,10.024938
230,2018-01-03 09:30:00,70.82294264339153,20.0,40.0,10.822943
231,2018-01-03 09:45:00,74.6134663341646,20.0,40.0,14.613466
232,2018-01-03 10:00:00,75.21197007481297,20.0,40.0,15.21197
233,2018-01-03 10:15:00,73.41645885286783,20.0,40.0,13.416459
234,2018-01-03 10:30:00,73.61596009975062,20.0,40.0,13.61596
235,2018-01-03 10:45:00,74.214463840399,20.0,40.0,14.214464
236,2018-01-03 11:00:00,75.81047381546135,20.0,40.0,15.810474
237,2018-01-03 11:15:00,79.40149625935163,20.0,40.0,19.401496
238,2018-01-03 11:30:00,78.00498753117208,20.0,40.0,18.004988
239,2018-01-03 11:45:00,76.60847880299252,20.0,40.0,16.608479
240,2018-01-03 12:00:00,75.81047381546135,20.0,40.0,15.810474
241,2018-01-03 12:15:00,74.214463840399,20.0,40.0,14.214464
242,2018-01-03 12:30:00,75.61097256857856,20.0,40.0,15.610973
243,2018-01-03 12:45:00,74.214463840399,20.0,40.0,14.214464
244,2018-01-03 13:00:00,74.214463840399,20.0,40.0,14.214464
245,2018-01-03 13:15:00,71.42144638403991,20.0,40.0,11.421446
246,2018-01-03 13:30:00,69.42643391521197,20.0,40.0,9.4264339
247,2018-01-03 13:45:00,73.41645885286783,20.0,40.0,13.416459
248,2018-01-03 14:00:00,74.6134663341646,20.0,40.0,14.613466
249,2018-01-03 14:15:00,73.81546134663341,20.0,40.0,13.815461
250,2018-01-03 14:30:00,72.61845386533666,20.0,40.0,12.618454
251,2018-01-03 14:45:00,73.01745635910225,20.0,40.0,13.017456
252,2018-01-03 15:00:00,72.61845386533666,20.0,40.0,12.618454
253,2018-01-03 15:15:00,75.61097256857856,20.0,40.0,15.610973
254,2018-01-03 15:30:00,76.00997506234414,20.0,40.0,16.009975
255,2018-01-03 15:45:00,75.01246882793018,20.0,40.0,15.012469
256,2018-01-03 16:00:00,73.21695760598504,20.0,40.0,13.216958
257,2018-01-03 16:15:00,72.81795511221945,20.0,40.0,12.817955
258,2018-01-03 16:30:00,73.61596009975062,20.0,40.0,13.61596
259,2018-01-03 16:45:00,71.6209476309227,20.0,40.0,11.620948
260,2018-01-03 17:00:00,72.41895261845387,20.0,40.0,12.418953
261,2018-01-03 17:15:00,71.2219451371571,20.0,40.0,11.221945
262,2018-01-03 17:30:00,69.22693266832918,20.0,40.0,9.2269327
263,2018-01-03 17:45:00,72.81795511221945,20.0,40.0,12.817955
264,2018-01-03 18:00:00,71.82044887780549,20.0,40.0,11.820449
265,2018-01-03 18:15:00,72.21945137157107,20.0,40.0,12.219451
266,2018-01-03 18:30:00,73.41645885286783,20.0,40.0,13.416459
267,2018-01-03 18:45:00,72.01995012468828,20.0,40.0,12.01995
